答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
159,E_307_61f2312033f0c4d24211c64c_4YDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 元以下,直播打赏|漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:28:12,2022-02-04 16:30:52,02分40秒,黑龙江省,哈尔滨市,117.136.56.234,Chrome 64.0.3282.137,Android Linux 7.0
160,E_307_61f22f9a33f0c4d2431614f1_4YDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 201 至 500 元,代言品牌|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:28:12,2022-02-04 16:30:52,02分40秒,黑龙江省,哈尔滨市,1.62.43.90,Chrome 64.0.3282.137,Android Linux 7.0
161,E_307_5fe03db5765480417bb7f474_4YDNxETM,46 岁及以上,女,高中,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),其他:退休,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,不愿付费（跳转 14 题）,直播打赏,不太清楚,不太清楚,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 16:27:20,2022-02-04 16:30:53,03分33秒,上海市,上海市,101.88.214.218,Unknown Browser,iPhone iOS 15.1
162,E_307_607e8bb11b2425391561bd55_4YDNxETM,30-45 岁,女,本科,10000-15000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,洛天依,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,漫画等周边,游戏,虚拟偶像种类:25.0|相关产品的丰富度:31.0|付费价格:44.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:25:38,2022-02-04 16:31:01,05分23秒,北京市,北京市,101.38.56.236,Unknown Browser,iPhone iOS 14.5.1
163,E_307_619f84e31b24255279458a8e_4YDNxETM,19-29 岁,男,本科,10000-15000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通工人,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 元以下,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:28:03,2022-02-04 16:31:01,02分58秒,黑龙江省,哈尔滨市,42.102.245.19,Chrome 86.0.4240.99,Android Linux 9
164,E_307_61f7f6ab1b2425ff3c9a0a63_4YDNxETM,19-29 岁,男,本科,15001-20000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,漫画等周边|线上/线下 演唱会,虚拟偶像种类:42.0|相关产品的丰富度:34.0|付费价格:17.0|其他:7.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:28:09,2022-02-04 16:31:04,02分55秒,江苏省,南京市,117.136.45.12,Chrome 70.0.3538.110,Android Linux 8.1.0
165,E_307_58ca8a06611ebf13e0388a14_4YDNxETM,19-29 岁,男,大专,15001-20000 元,华北地区(包括北京、天津、河北、山西、内蒙古),个体经营者/承包商,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:28:31,2022-02-04 16:31:05,02分34秒,天津市,天津市,60.27.158.162,Chrome 71.0.3578.99,Android Linux 8.1.0
166,E_307_60eab8871b24255763d387e7_4YDNxETM,19-29 岁,女,本科,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,每月 201 至 500 元,代言品牌|漫画等周边|线上/线下 演唱会,直播打赏,虚拟偶像种类:39.0|相关产品的丰富度:26.0|付费价格:35.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:28:35,2022-02-04 16:31:12,02分37秒,广西壮族自治区,百色市,180.143.128.188,Chrome 65.0.3325.110,Android Linux 8.1.0
167,E_307_61b7e4cc1b2425dadd4c2835_4YDNxETM,19-29 岁,女,大专,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),自由职业者,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:28:42,2022-02-04 16:31:14,02分32秒,河北省,唐山市,183.199.19.23,Chrome 88.0.4324.93,Android Linux 10
168,E_307_60fa460b33f0c428479aa5c8_4YDNxETM,12-18 岁,女,大专,2000 元以下,华中地区(包括湖北、湖南、河南),企业管理人员,洛天依,不会塌房，追星更加稳定,花过，501 元到 1000 元,不愿付费,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:28:39,2022-02-04 16:31:19,02分40秒,河北省,石家庄市,182.51.86.12,Chrome 88.0.4324.93,Android Linux 10
169,E_307_612717f71b242593de6bd044_4YDNxETM,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,初音未来|洛天依,不会塌房，追星更加稳定|精神寄托,花过，200 元以下,每月 50 元以下,代言品牌|漫画等周边,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:50.0|相关产品的丰富度:38.0|付费价格:12.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:27:22,2022-02-04 16:31:30,04分08秒,四川省,德阳市,222.213.123.170,Chrome 83.0.4103.106,Android Linux 11
170,E_307_589ac039611ebf48c5b1907a_4YDNxETM,19-29 岁,男,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 到 200 元,漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:29:00,2022-02-04 16:31:33,02分33秒,天津市,天津市,221.197.234.203,Chrome 90.0.4430.210,Android Linux 11
171,E_307_5d16b584c4613101bcb92a66_4YDNxETM,30-45 岁,男,高中,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|精神寄托,花过，200至 500 元,每月 50 到 200 元,直播打赏|线上/线下 演唱会,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:41.0|相关产品的丰富度:35.0|付费价格:21.0|其他:3.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:26:40,2022-02-04 16:31:36,04分56秒,黑龙江省,佳木斯市,1.188.83.74,Chrome 70.0.3538.110,Android Linux 8.0.0
172,E_307_5df9c9a8c46131728c3b871c_4YDNxETM,30-45 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 元以下,直播打赏|代言品牌|线上/线下 演唱会|游戏,直播打赏|代言品牌|线上/线下 演唱会,虚拟偶像种类:32.0|相关产品的丰富度:32.0|付费价格:34.0|其他:2.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:29:02,2022-02-04 16:31:38,02分36秒,浙江省,绍兴市,39.171.140.73,Unknown Browser,iPhone iOS 14.8.1
173,E_307_61f1023f1b2425ff3fa05d26_4YDNxETM,19-29 岁,女,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通工人,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:29:08,2022-02-04 16:31:40,02分32秒,黑龙江省,哈尔滨市,123.167.88.112,Chrome 88.0.4324.93,Android Linux 10
174,E_307_61f7954133f0c4d241106cb2_4YDNxETM,19-29 岁,女,本科,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,直播打赏|线上/线下 演唱会,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:28:15,2022-02-04 16:31:43,03分28秒,广东省,,120.231.18.51,Chrome 83.0.4103.106,Android Linux 10
175,E_307_6031aa711b2425f15c4050f4_4YDNxETM,30-45 岁,男,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200 元以下,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边,直播打赏,虚拟偶像种类:60.0|相关产品的丰富度:21.0|付费价格:19.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:29:02,2022-02-04 16:31:54,02分52秒,河北省,沧州市,221.192.178.33,Chrome 90.0.4430.210,Android Linux 11
176,E_307_60a0e1d133f0c4ba8a9944da_4YDNxETM,12-18 岁,女,初中及以下,暂无收入,东北地区（包括黑龙江、吉林、辽宁）,普通职员,初音未来,审美需要,花过，200至 500 元,不愿付费,,,,不可以，虚拟偶像根本无法满足需求,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 元以下,直播打赏,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,没有,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:28:46,2022-02-04 16:31:57,03分11秒,河南省,信阳市,223.90.97.219,Firefox 96.0,Windows 10
177,E_307_61ef8cef33f0c4d24414136e_4YDNxETM,12-18 岁,女,大专,暂无收入,华中地区(包括湖北、湖南、河南),学生,洛天依,审美需要,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 到 200 元,线上/线下 演唱会,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:29:24,2022-02-04 16:31:59,02分35秒,河南省,信阳市,223.90.127.85,Chrome 88.0.4324.93,Android Linux 10
178,E_307_61caaf1333f0c41f978b628e_4YDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边|线上/线下 演唱会|游戏,代言品牌|漫画等周边|游戏,虚拟偶像种类:23.0|相关产品的丰富度:25.0|付费价格:25.0|其他:27.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:26:30,2022-02-04 16:32:09,03分55秒,江苏省,连云港市,117.92.34.71,Chrome 55.0.2883.91,Android Linux 6.0.1
179,E_307_518a6880ffb53a74b7eb73fd_4YDNxETM,30-45 岁,男,本科,15001-20000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|柳叶熙|aespa,不会塌房，追星更加稳定|精神寄托|审美需要,花过，200至 500 元,每月 201 至 500 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:80.0|相关产品的丰富度:20.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:27:30,2022-02-04 16:32:10,04分40秒,山东省,淄博市,223.96.65.97,Chrome 83.0.4103.101,Android Linux 10
180,E_307_606d940133f0c4ccf2e5484a_4YDNxETM,30-45 岁,女,大专,5000-9999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通工人,柳叶熙,精神寄托,花过，200至 500 元,每月 201 至 500 元,直播打赏|线上/线下 演唱会,直播打赏|线上/线下 演唱会,虚拟偶像种类:26.0|相关产品的丰富度:38.0|付费价格:36.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:29:32,2022-02-04 16:32:10,02分38秒,河南省,郑州市,39.148.171.110,Chrome 81.0.4044.138,Android Linux 10
181,E_307_518a6aabffb53a74c13f7628_4YDNxETM,30-45 岁,男,本科,20000 元以上,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),自由职业者,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:28:58,2022-02-04 16:32:12,03分14秒,上海市,上海市,101.87.162.103,Chrome 96.0.4664.93,Windows 7
182,E_307_60e52f171b24255761baaedb_4YDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 16:29:45,2022-02-04 16:32:15,02分30秒,广东省,广州市,120.230.10.20,Chrome 81.0.4044.138,Android Linux 10
183,E_307_61f8b3ac1b2425ff3ea6894a_4YDNxETM,46 岁及以上,男,本科,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,代言品牌|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:29:04,2022-02-04 16:32:16,03分12秒,黑龙江省,大庆市,117.136.7.104,Chrome 68.0.3440.91,Android Linux 9
184,E_307_6118c5d61b242577b2da15d5_4YDNxETM,19-29 岁,男,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,漫画等周边|游戏,漫画等周边|线上/线下 演唱会,虚拟偶像种类:23.0|相关产品的丰富度:29.0|付费价格:24.0|其他:24.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:29:03,2022-02-04 16:32:18,03分15秒,江西省,南昌市,183.217.165.241,Chrome 86.0.4240.198,Windows 10
185,E_307_61e8fd9933f0c4d2440d6ab2_4YDNxETM,19-29 岁,男,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|审美需要,花过，200 元以下,不愿付费,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,亲朋好友的推荐及评价,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会|游戏,推广意义不大，日常流量明星就已经能够满足需要,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:29:42,2022-02-04 16:32:19,02分37秒,河南省,平顶山市,120.216.155.149,Chrome 88.0.4324.93,Android Linux 10
186,E_307_5fcbbdec33f0c4caaed52e06_4YDNxETM,19-29 岁,女,大专,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 16:28:08,2022-02-04 16:32:23,04分15秒,河南省,洛阳市,61.158.147.94,Chrome 92.0.4515.131,Android Linux 11
187,E_307_5ecf62c4c4613116cba519a4_4YDNxETM,19-29 岁,男,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),普通职员,柳叶熙|aespa,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:21.0|相关产品的丰富度:38.0|付费价格:25.0|其他:16.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:28:30,2022-02-04 16:32:25,03分55秒,湖南省,长沙市,119.39.248.27,Chrome 77.0.3865.92,Android Linux 10
188,E_307_56d5a687c1a87d50b513ebd6_4YDNxETM,19-29 岁,女,本科,15001-20000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 201 至 500 元,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:80.0|相关产品的丰富度:20.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:27:48,2022-02-04 16:32:26,04分38秒,上海市,上海市,101.86.201.177,ChromiumEdge 97.0.1072.76,Windows 10
189,E_307_61d0dcba1b2425f8aa16154a_4YDNxETM,30-45 岁,女,本科,15001-20000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,洛天依,娱乐消费，能够带来快乐,花过，501 元到 1000 元,每月 50 到 200 元,代言品牌|漫画等周边,漫画等周边|线上/线下 演唱会,虚拟偶像种类:29.0|相关产品的丰富度:22.0|付费价格:22.0|其他:27.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:29:56,2022-02-04 16:32:29,02分33秒,广东省,深圳市,117.136.40.0,Unknown Browser,iPhone iOS 14.6
190,E_307_60110eba33f0c454ae0d21e9_4YDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依,精神寄托,花过，200 元以下,每月 50 元以下,代言品牌,线上/线下 演唱会,虚拟偶像种类:38.0|相关产品的丰富度:41.0|付费价格:21.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 16:29:33,2022-02-04 16:32:33,03分00秒,江苏省,苏州市,183.211.74.127,Chrome 92.0.4515.131,Android Linux 11
191,E_307_61fce1f41b2425ff3ea98072_4YDNxETM,12-18 岁,女,高中,暂无收入,东北地区（包括黑龙江、吉林、辽宁）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 到 200 元,线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:30:06,2022-02-04 16:32:37,02分31秒,吉林省,延边朝鲜族自治州,111.25.99.243,Chrome 88.0.4324.93,Android Linux 10
192,E_307_61ed0c0a1b2425ff3f9c147d_4YDNxETM,19-29 岁,男,硕士研究生,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|A-SOUL（嘉然今天吃什么）|aespa,娱乐消费，能够带来快乐|精神寄托|审美需要,花过，200 元以下,每月 50 元以下,直播打赏|漫画等周边|线上/线下 演唱会,直播打赏|漫画等周边|线上/线下 演唱会|游戏,虚拟偶像种类:100.0|相关产品的丰富度:0.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:29:49,2022-02-04 16:32:38,02分49秒,江苏省,南京市,122.96.32.8,Chrome 83.0.4103.101,Android Linux 10
193,E_307_61fbb10533f0c4d242167894_4YDNxETM,19-29 岁,女,大专,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,不愿付费（跳转 14 题）,代言品牌,不太清楚,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 16:29:52,2022-02-04 16:32:47,02分55秒,江苏省,镇江市,223.104.145.32,Chrome 83.0.4103.106,Android Linux 11
194,E_307_5c9ad9bcc1a87d24698aae5e_4YDNxETM,19-29 岁,女,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 到 200 元,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 16:30:08,2022-02-04 16:32:51,02分43秒,江苏省,无锡市,49.66.207.126,Chrome 92.0.4515.131,Android Linux 11
