答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
191,E_307_61f8af9633f0c4d2431b8171_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,初音未来,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|线上/线下 演唱会,直播打赏|漫画等周边,虚拟偶像种类:65.0|相关产品的丰富度:35.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:43:51,2022-02-04 11:48:25,04分34秒,江苏省,南京市,36.113.9.151,Chrome 83.0.4103.106,Android Linux 11
192,E_307_61d3ca4233f0c47da4b409be_yMDNxETM,19-29 岁,女,大专,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,代言品牌|漫画等周边|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:45:56,2022-02-04 11:48:30,02分34秒,浙江省,温州市,112.14.84.160,Chrome 70.0.3538.110,Android Linux 8.0.0
193,E_307_5c0273dfc1a87d382b0b843b_yMDNxETM,19-29 岁,男,本科,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),学生,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐,从未,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,不愿付费（跳转 14 题）,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:45:23,2022-02-04 11:48:43,03分20秒,广东省,广州市,116.22.50.230,Chrome 86.0.4240.198,Windows 7
194,E_307_5a8a7882c1a87d24c03c261e_yMDNxETM,30-45 岁,女,本科,15001-20000 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,初音未来|洛天依|柳叶熙,精神寄托|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,漫画等周边|线上/线下 演唱会,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:20.0|相关产品的丰富度:38.0|付费价格:22.0|其他:20.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:45:57,2022-02-04 11:48:45,02分48秒,北京市,北京市,120.244.16.209,Chrome 83.0.4103.106,Android Linux 11
195,E_307_61f8b3ac1b2425ff3ea6894a_yMDNxETM,30-45 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|柳叶熙,精神寄托|审美需要,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|代言品牌|线上/线下 演唱会|游戏,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:39.0|相关产品的丰富度:38.0|付费价格:23.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:14,2022-02-04 11:48:51,02分37秒,黑龙江省,哈尔滨市,223.104.17.247,Chrome 68.0.3440.91,Android Linux 9
196,E_307_604ff79d1b2425790c0a8cfc_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:32.0|相关产品的丰富度:20.0|付费价格:26.0|其他:22.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:12,2022-02-04 11:48:52,02分40秒,江苏省,连云港市,117.136.66.210,Chrome 68.0.3440.91,Android Linux 9
197,E_307_593b2f2ac1a87d3e4db2bba3_yMDNxETM,30-45 岁,男,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),自由职业者,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,漫画等周边|游戏,漫画等周边,虚拟偶像种类:40.0|相关产品的丰富度:20.0|付费价格:40.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:12,2022-02-04 11:48:52,02分40秒,广东省,广州市,14.27.44.163,Chrome 86.0.4240.198,Windows 10
198,E_307_619f84e31b24255279458a8e_yMDNxETM,12岁以下,男,初中及以下,暂无收入,华南地区(包括广东、广西、海南、澳门、香港),学生,洛天依|A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:44.0|相关产品的丰富度:56.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:25,2022-02-04 11:48:57,02分32秒,黑龙江省,哈尔滨市,123.167.90.225,Chrome 86.0.4240.99,Android Linux 9
199,E_307_61f7e24033f0c4d2441c7518_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),自由职业者,洛天依|A-SOUL（嘉然今天吃什么）|aespa,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 到 200 元,代言品牌|线上/线下 演唱会|游戏,直播打赏|代言品牌|线上/线下 演唱会,虚拟偶像种类:37.0|相关产品的丰富度:38.0|付费价格:17.0|其他:8.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:45:58,2022-02-04 11:49:00,03分02秒,江苏省,连云港市,112.3.141.15,Chrome 86.0.4240.99,Android Linux 9
200,E_307_518a687effb53a74d5d5f94b_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:28,2022-02-04 11:49:00,02分32秒,上海市,上海市,223.167.7.11,Chrome 92.0.4515.131,Android Linux 11
201,E_307_61d14de31b2425f8aa16b508_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通工人,A-SOUL（嘉然今天吃什么）,不会塌房，追星更加稳定,花过，501 元到 1000 元,每月 50 元以下,线上/线下 演唱会,代言品牌,虚拟偶像种类:24.0|相关产品的丰富度:16.0|付费价格:27.0|其他:33.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:46:26,2022-02-04 11:49:03,02分37秒,吉林省,,117.136.6.110,Chrome 86.0.4240.99,Android Linux 7.1.1
202,E_307_61da6a911b2425aa72e65755_yMDNxETM,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,初音未来|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边|线上/线下 演唱会,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:39.0|相关产品的丰富度:19.0|付费价格:35.0|其他:7.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:45:57,2022-02-04 11:49:03,03分06秒,,,223.104.219.117,Chrome 88.0.4324.93,Android Linux 10
203,E_307_598aafd0c1a87d3f659ff0f9_yMDNxETM,30-45 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 50 到 200 元,直播打赏|线上/线下 演唱会|游戏,漫画等周边|游戏,虚拟偶像种类:47.0|相关产品的丰富度:24.0|付费价格:19.0|其他:10.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:14,2022-02-04 11:49:05,02分51秒,山东省,济南市,27.211.118.57,Chrome 83.0.4103.106,Android Linux 10
204,E_307_60d17c6c1b24259bdd7d01a9_yMDNxETM,30-45 岁,男,大专,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),自由职业者,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,游戏,不太清楚,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:46:36,2022-02-04 11:49:08,02分32秒,河北省,石家庄市,223.104.13.152,Chrome 83.0.4103.101,Android Linux 10
205,E_307_608526a51b242578df4d6a64_yMDNxETM,19-29 岁,男,本科,2000 元以下,华中地区(包括湖北、湖南、河南),学生,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边,漫画等周边,虚拟偶像种类:44.0|相关产品的丰富度:32.0|付费价格:21.0|其他:3.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:20,2022-02-04 11:49:15,02分55秒,江西省,赣州市,117.136.126.162,Chrome 81.0.4044.138,Android Linux 10
206,E_307_6191245b1b2425a41a320126_yMDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),自由职业者,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:36,2022-02-04 11:49:17,02分41秒,贵州省,遵义市,221.13.63.104,Chrome 83.0.4103.106,Android Linux 10
207,E_307_61f0fde71b2425ff3e9fb163_yMDNxETM,19-29 岁,女,本科,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,推广意义不大，日常流量明星就已经能够满足需要,没有,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:44:38,2022-02-04 11:49:22,04分44秒,河南省,平顶山市,123.149.139.31,Unknown Browser,iPhone iOS 15.3
208,E_307_60c7f9741b242588e7e6e91c_yMDNxETM,30-45 岁,男,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),企业管理人员,A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,不会塌房，追星更加稳定|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,代言品牌|线上/线下 演唱会|游戏,代言品牌|线上/线下 演唱会,虚拟偶像种类:37.0|相关产品的丰富度:14.0|付费价格:29.0|其他:20.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:46:39,2022-02-04 11:49:28,02分49秒,河南省,郑州市,61.158.152.62,Chrome 70.0.3538.110,Android Linux 8.0.0
209,E_307_6173460a1b2425c117f15378_yMDNxETM,12岁以下,男,初中及以下,暂无收入,西北地区(包括宁夏、新疆、青海、陕西、甘肃),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,直播打赏|线上/线下 演唱会,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:46:15,2022-02-04 11:49:30,03分15秒,黑龙江省,哈尔滨市,42.100.227.77,Chrome 86.0.4240.99,Android Linux 11
210,E_307_6199a1a333f0c4986f04e572_yMDNxETM,30-45 岁,女,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,每月 50 元以下,线上/线下 演唱会,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:47:01,2022-02-04 11:49:30,02分29秒,山东省,东营市,123.170.2.213,Chrome 88.0.4324.93,Android Linux 10
211,E_307_61e03aa91b2425f188725875_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 201 至 500 元,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:46:38,2022-02-04 11:49:33,02分55秒,江苏省,南京市,223.104.150.167,Chrome 83.0.4103.106,Android Linux 11
212,E_307_61ed63391b2425ff3f9c7f59_yMDNxETM,19-29 岁,女,大专,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,初音未来,娱乐消费，能够带来快乐,花过，501 元到 1000 元,每月 201 至 500 元,漫画等周边|游戏,漫画等周边|游戏,虚拟偶像种类:21.0|相关产品的丰富度:28.0|付费价格:24.0|其他:27.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:43:28,2022-02-04 11:49:34,06分06秒,浙江省,台州市,125.127.127.108,Chrome 88.0.4324.93,Android Linux 10
213,E_307_600c02ef1b2425ff4e739275_yMDNxETM,30-45 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),普通职员,初音未来|洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,漫画等周边|线上/线下 演唱会,虚拟偶像种类:19.0|相关产品的丰富度:45.0|付费价格:36.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:47:10,2022-02-04 11:49:41,02分31秒,北京市,北京市,111.199.216.4,Chrome 83.0.4103.106,Android Linux 10
214,E_307_603a428233f0c476a88baf2b_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,初音未来|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,漫画等周边|游戏,漫画等周边|游戏,虚拟偶像种类:18.0|相关产品的丰富度:41.0|付费价格:32.0|其他:9.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:46:52,2022-02-04 11:49:45,02分53秒,广西壮族自治区,玉林市,113.15.117.121,Chrome 68.0.3440.91,Android Linux 9
215,E_307_61124bb133f0c45b8aaee34f_yMDNxETM,30-45 岁,男,大专,2000-4999 元,华中地区(包括湖北、湖南、河南),普通工人,洛天依|我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌|漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 11:47:09,2022-02-04 11:49:46,02分37秒,河南省,安阳市,223.88.228.162,Chrome 92.0.4515.131,Android Linux 11
216,E_307_60d424ca33f0c43b09fad689_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华中地区(包括湖北、湖南、河南),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,代言品牌,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:47:18,2022-02-04 11:49:51,02分33秒,,,223.104.42.107,Chrome 88.0.4324.93,Android Linux 10
217,E_307_61cd9fa033f0c45b627fc835_yMDNxETM,19-29 岁,女,大专,2000-4999 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,柳叶熙,审美需要,花过，1000 元以上,每月 201 至 500 元,漫画等周边,漫画等周边,虚拟偶像种类:100.0|相关产品的丰富度:0.0|付费价格:0.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:47:21,2022-02-04 11:49:51,02分30秒,黑龙江省,哈尔滨市,42.102.175.223,Chrome 86.0.4240.99,Android Linux 10
218,E_307_6120ea941b2425341797bb2e_yMDNxETM,19-29 岁,女,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 到 200 元,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:47:23,2022-02-04 11:49:53,02分30秒,四川省,成都市,171.219.109.151,Chrome 83.0.4103.101,Android Linux 10
219,E_307_61ec0b061b2425ff3e9ae4fd_yMDNxETM,19-29 岁,男,大专,2000-4999 元,华中地区(包括湖北、湖南、河南),普通工人,柳叶熙,娱乐消费，能够带来快乐|精神寄托,花过，501 元到 1000 元,每月 201 至 500 元,漫画等周边,漫画等周边,虚拟偶像种类:28.0|相关产品的丰富度:38.0|付费价格:21.0|其他:13.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 11:46:35,2022-02-04 11:49:56,03分21秒,浙江省,杭州市,223.104.244.81,Chrome 56.0.2924.87,Android Linux 7.1.1
220,E_307_6130b7021b2425de544c47b6_yMDNxETM,19-29 岁,女,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),个体经营者/承包商,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 到 200 元,漫画等周边,漫画等周边|线上/线下 演唱会,虚拟偶像种类:30.0|相关产品的丰富度:55.0|付费价格:8.0|其他:7.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:47:23,2022-02-04 11:49:56,02分33秒,江苏省,无锡市,112.3.6.57,Chrome 77.0.3865.92,Android Linux 10
221,E_307_594e4dc7c1a87d5a6dc74b7e_yMDNxETM,19-29 岁,女,本科,20000 元以上,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:47:27,2022-02-04 11:49:57,02分30秒,福建省,厦门市,211.97.130.120,Unknown Browser,iPhone iOS 14.4.2
222,E_307_6151a81b1b24253e3dda252f_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,初音未来|洛天依|柳叶熙,不会塌房，追星更加稳定,花过，1000 元以上,每月 201 至 500 元,代言品牌|漫画等周边,代言品牌|漫画等周边,虚拟偶像种类:45.0|相关产品的丰富度:23.0|付费价格:22.0|其他:10.0,,,,,,推广意义不大，日常流量明星就已经能够满足需要,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:47:24,2022-02-04 11:49:58,02分34秒,黑龙江省,哈尔滨市,42.100.132.31,Chrome 83.0.4103.106,Android Linux 10
223,E_307_51c11f4a48ab8803f23a3962_yMDNxETM,19-29 岁,男,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,洛天依,精神寄托,花过，200 元以下,不愿付费,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 11:47:27,2022-02-04 11:49:58,02分31秒,广东省,广州市,119.32.47.238,Safari 12.1.2,MacOS Macintosh X 10.12.6
224,E_307_6048a52a1b2425688f4b17cc_yMDNxETM,19-29 岁,男,本科,2000-4999 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),政府/事业单位人员,A-SOUL（嘉然今天吃什么）,精神寄托,花过，200至 500 元,每月 50 元以下,漫画等周边,漫画等周边,虚拟偶像种类:24.0|相关产品的丰富度:17.0|付费价格:37.0|其他:22.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 11:47:21,2022-02-04 11:50:00,02分39秒,浙江省,杭州市,112.17.247.211,Unknown Browser,iPhone iOS 15.2.1
225,E_307_60ee657833f0c4081a3a4469_yMDNxETM,30-45 岁,男,高中,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 50 元以下,直播打赏|代言品牌|漫画等周边,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:14.0|相关产品的丰富度:36.0|付费价格:25.0|其他:25.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:47:29,2022-02-04 11:50:00,02分31秒,江苏省,南京市,49.90.189.248,Chrome 83.0.4103.106,Android Linux 10
226,E_307_60ec71a933f0c408181b8bb5_yMDNxETM,19-29 岁,女,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 11:47:31,2022-02-04 11:50:00,02分29秒,上海市,上海市,103.40.223.58,Chrome 83.0.4103.106,Android Linux 11
