答题序号,来源,Q1_1、您的年龄为,Q2_您的性别,Q3_您的学历为：,Q4_您的月收入为：,Q5_您所在的地区为：,Q6_您的职业为：,Q7_您消费过以下哪类虚拟偶像：,Q8_您选择消费虚拟偶像的目的是：,Q9_您最近一年是否消费过虚拟偶像？（如漫画周边、演唱会等）,Q10_您能够接受的虚拟偶像相关产品的价格范围是：,Q11_您为以下哪种方面付费过？,Q12_您更倾向于消费哪一类虚拟偶像相关产品：,Q13_下列因素影响了您对虚拟偶像的付费程度,Q14_您觉得虚拟偶像是否能满足您的需求：,Q15_您是否有消费虚拟偶像的需求：,Q16_假如您打算消费虚拟偶像的话，您会从哪个方面进行选择：,Q17_倘若您愿意进行虚拟偶像的付费，您能够接受的虚拟偶像相关产品的价格范围是：,Q18_您更倾向于在消费哪一类虚拟偶像相关产品：,Q19_您认为现下虚拟偶像的发展处于哪个阶段？,Q20_您身边的亲戚、朋友、同事等人是否知道或者消费虚拟偶像？,Q21_假如虚拟偶像发展成熟，满足了您的需求，您是否愿意使用虚拟偶像来代替流量明星？,Q22_您认为虚拟偶像 未来的发展前景是：,开始时间,提交时间,答题时长,IP省份,IP城市,IP地址,浏览器,操作系统
210,E_307_596c87dac1a87d63aa90d6bb_2IDNxETM,19-29 岁,男,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通职员,洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,直播打赏|漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:49.0|相关产品的丰富度:10.0|付费价格:17.0|其他:24.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:41:05,2022-02-04 10:43:36,02分31秒,安徽省,合肥市,183.160.85.168,Chrome 70.0.3538.110,Android Linux 8.0.0
211,E_307_6179fb8d1b2425c117f7f0c7_2IDNxETM,19-29 岁,女,本科,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 到 200 元,直播打赏|代言品牌|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:40:57,2022-02-04 10:43:39,02分42秒,河北省,保定市,117.136.2.137,Unknown Browser,iPhone iOS 14.1
212,E_307_61f7c3ce1b2425ff3ea60c1d_2IDNxETM,19-29 岁,男,本科,2000 元以下,华北地区(包括北京、天津、河北、山西、内蒙古),学生,洛天依,不会塌房，追星更加稳定|审美需要,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:15,2022-02-04 10:43:44,02分29秒,,,39.144.95.153,Chrome 88.0.4324.93,Android Linux 10
213,E_307_609f580b1b2425100c544c21_2IDNxETM,30-45 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,柳叶熙,娱乐消费，能够带来快乐,花过，200至 500 元,每月 201 至 500 元,代言品牌|线上/线下 演唱会,代言品牌|线上/线下 演唱会,虚拟偶像种类:30.0|相关产品的丰富度:14.0|付费价格:20.0|其他:36.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:24,2022-02-04 10:43:53,02分29秒,福建省,厦门市,223.104.6.7,Unknown Browser,iPhone iOS 14.3
214,E_307_61ea446c1b2425ff3c967778_2IDNxETM,19-29 岁,女,本科,2000 元以下,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 到 200 元,漫画等周边|线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:40:58,2022-02-04 10:44:01,03分03秒,云南省,红河哈尼族彝族自治州,39.130.6.132,Chrome 88.0.4324.93,Android Linux 10
215,E_307_614bdf2c33f0c42c50299359_2IDNxETM,30-45 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200 元以下,每月 50 到 200 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,直播打赏|代言品牌|漫画等周边,虚拟偶像种类:28.0|相关产品的丰富度:30.0|付费价格:34.0|其他:8.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:40:49,2022-02-04 10:44:02,03分13秒,江苏省,南京市,117.136.45.96,Chrome 70.0.3538.110,Android Linux 8.0.0
216,E_307_5f82d63333f0c4efaa946151_2IDNxETM,12-18 岁,男,大专,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,直播打赏|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:41:03,2022-02-04 10:44:07,03分04秒,广西壮族自治区,贵港市,180.140.0.114,Chrome 86.0.4240.99,Android Linux 10
217,E_307_6199a1a333f0c4986f04e572_2IDNxETM,30-45 岁,女,本科,2000-4999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,直播打赏|线上/线下 演唱会|游戏,创立阶段，虚拟偶像种类不多，相关的产品也不多,没有,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:44,2022-02-04 10:44:14,02分30秒,山东省,东营市,123.170.2.213,Chrome 88.0.4324.93,Android Linux 10
218,E_307_61f117b333f0c4d243151d8d_2IDNxETM,19-29 岁,女,本科,2000-4999 元,华中地区(包括湖北、湖南、河南),普通工人,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,代言品牌,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:48,2022-02-04 10:44:18,02分30秒,黑龙江省,哈尔滨市,123.167.91.212,Chrome 88.0.4324.93,Android Linux 10
219,E_307_61de81f933f0c4599b4985ab_2IDNxETM,19-29 岁,男,本科,暂无收入,西南地区（包括重庆、程度、云南、贵州、西藏）,学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:39,2022-02-04 10:44:20,02分41秒,贵州省,毕节市,111.120.7.25,Chrome 83.0.4103.106,Android Linux 11
220,E_307_61ccd9681b242521508a79da_2IDNxETM,19-29 岁,女,本科,2000-4999 元,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,代言品牌|漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,没有,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:02,2022-02-04 10:44:21,03分19秒,黑龙江省,哈尔滨市,123.167.78.45,Chrome 86.0.4240.99,Android Linux 9
221,E_307_60f16b411b24254c4349c7bf_2IDNxETM,19-29 岁,女,本科,10000-15000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),政府/事业单位人员,初音未来|洛天依|柳叶熙,娱乐消费，能够带来快乐,花过，200至 500 元,每月 50 元以下,代言品牌|漫画等周边,直播打赏|线上/线下 演唱会,虚拟偶像种类:28.0|相关产品的丰富度:49.0|付费价格:23.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,不会，更喜欢追求真人明星,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:38:20,2022-02-04 10:44:23,06分03秒,湖南省,长沙市,106.19.194.162,Chrome 88.0.4324.93,Android Linux 10
222,E_307_606dcac71b2425057341d9d8_2IDNxETM,19-29 岁,男,本科,15001-20000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),个体经营者/承包商,A-SOUL（嘉然今天吃什么）|柳叶熙|aespa,不会塌房，追星更加稳定|精神寄托,花过，501 元到 1000 元,每月 501 到 1000 元,漫画等周边|线上/线下 演唱会,代言品牌|漫画等周边,虚拟偶像种类:52.0|相关产品的丰富度:48.0|付费价格:0.0|其他:0.0,,,,,,推广意义不大，日常流量明星就已经能够满足需要,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:41:43,2022-02-04 10:44:30,02分47秒,河北省,保定市,101.27.201.80,Chrome 86.0.4240.198,Windows 7
223,E_307_61af04c233f0c485c05fb1ea_2IDNxETM,30-45 岁,男,大专,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,洛天依|A-SOUL（嘉然今天吃什么）|柳叶熙,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托,花过，200至 500 元,每月 201 至 500 元,代言品牌|漫画等周边|游戏,漫画等周边|线上/线下 演唱会,虚拟偶像种类:27.0|相关产品的丰富度:39.0|付费价格:17.0|其他:17.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,不会，更喜欢追求真人明星,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:42:01,2022-02-04 10:44:32,02分31秒,江苏省,徐州市,183.206.52.241,Chrome 83.0.4103.106,Android Linux 10
224,E_307_5f89a2d833f0c4be00523e32_2IDNxETM,19-29 岁,女,本科,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,代言品牌|漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:41:19,2022-02-04 10:44:33,03分14秒,山西省,忻州市,1.71.241.234,Chrome 83.0.4103.106,Android Linux 10
225,E_307_61037c9b33f0c4284493c5df_2IDNxETM,19-29 岁,女,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),学生,柳叶熙,娱乐消费，能够带来快乐|审美需要,花过，200 元以下,每月 50 元以下,直播打赏|游戏,代言品牌|漫画等周边,虚拟偶像种类:21.0|相关产品的丰富度:22.0|付费价格:57.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:58,2022-02-04 10:44:33,02分35秒,内蒙古自治区,阿拉善盟,39.154.38.186,Chrome 88.0.4324.93,Android Linux 10
226,E_307_608526a51b242578df4d6a64_2IDNxETM,19-29 岁,男,本科,2000 元以下,华北地区(包括北京、天津、河北、山西、内蒙古),学生,初音未来|洛天依,精神寄托|审美需要,花过，200至 500 元,每月 50 到 200 元,漫画等周边,代言品牌|线上/线下 演唱会,虚拟偶像种类:37.0|相关产品的丰富度:28.0|付费价格:19.0|其他:16.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:41:46,2022-02-04 10:44:35,02分49秒,江西省,赣州市,117.136.126.162,Chrome 81.0.4044.138,Android Linux 10
227,E_307_61db9bef33f0c414fd005c33_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),企业管理人员,初音未来|洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 201 至 500 元,漫画等周边,漫画等周边|线上/线下 演唱会,虚拟偶像种类:46.0|相关产品的丰富度:32.0|付费价格:22.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:58,2022-02-04 10:44:36,02分38秒,安徽省,合肥市,183.160.119.203,Chrome 80.0.3987.99,Android Linux 9
228,E_307_603f409233f0c4e71f48da44_2IDNxETM,19-29 岁,男,本科,2000 元以下,华北地区(包括北京、天津、河北、山西、内蒙古),学生,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,不愿付费（跳转 14 题）,代言品牌,创立阶段，虚拟偶像种类不多，相关的产品也不多,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:42:08,2022-02-04 10:44:38,02分30秒,广西壮族自治区,,117.183.86.131,Chrome 80.0.3987.99,Android Linux 10
229,E_307_610faa8933f0c45b8aa99f5a_2IDNxETM,30-45 岁,男,本科,10000-15000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),个体经营者/承包商,洛天依,娱乐消费，能够带来快乐|不会塌房，追星更加稳定,花过，200至 500 元,每月 50 到 200 元,代言品牌|漫画等周边|线上/线下 演唱会|游戏,直播打赏|漫画等周边|线上/线下 演唱会,虚拟偶像种类:82.0|相关产品的丰富度:18.0|付费价格:0.0|其他:0.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:42:00,2022-02-04 10:44:48,02分48秒,,,223.104.51.52,Chrome 83.0.4103.106,Android Linux 11
230,E_307_61cfab7b33f0c47da4b05000_2IDNxETM,30-45 岁,女,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),普通职员,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的才艺多样化,每月 50 元以下,直播打赏|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:42:13,2022-02-04 10:44:49,02分36秒,黑龙江省,哈尔滨市,42.100.138.228,Chrome 55.0.2883.91,Android Linux 6.0.1
231,E_307_619f1eaa33f0c498710e5247_2IDNxETM,30-45 岁,女,本科,10000-15000 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 到 200 元,代言品牌|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,不会，更喜欢追求真人明星,一般，流量明星仍然是占据主流,2022-02-04 10:42:19,2022-02-04 10:44:49,02分30秒,黑龙江省,哈尔滨市,42.100.139.77,Chrome 86.0.4240.99,Android Linux 10
232,E_307_6173460a1b2425c117f15378_2IDNxETM,12-18 岁,女,高中,2000 元以下,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),学生,洛天依|柳叶熙,不会塌房，追星更加稳定,从未,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,不愿付费（跳转 14 题）,代言品牌|漫画等周边,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,已经成为一种潮流,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:42:19,2022-02-04 10:44:50,02分31秒,黑龙江省,哈尔滨市,42.102.229.239,Chrome 86.0.4240.99,Android Linux 11
233,E_307_61f748a51b2425ff3c99e14c_2IDNxETM,19-29 岁,女,大专,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,洛天依,娱乐消费，能够带来快乐,花过，200至 500 元,每月 201 至 500 元,直播打赏,直播打赏,虚拟偶像种类:40.0|相关产品的丰富度:60.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:42:10,2022-02-04 10:44:51,02分41秒,广东省,深圳市,120.229.9.115,Chrome 83.0.4103.106,Android Linux 10
234,E_307_61f1023f1b2425ff3fa05d26_2IDNxETM,19-29 岁,女,硕士研究生,10000-15000 元,华中地区(包括湖北、湖南、河南),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不可以，虚拟偶像根本无法满足需求,没有，我觉得不需要虚拟偶像,虚拟偶像的外型设计,每月 501 到 1000 元,线上/线下 演唱会,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,不太清楚,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:42:19,2022-02-04 10:44:54,02分35秒,黑龙江省,哈尔滨市,42.102.227.143,Chrome 88.0.4324.93,Android Linux 10
235,E_307_61f102d21b2425ff3fa05df4_2IDNxETM,19-29 岁,女,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),学生,柳叶熙,精神寄托,从未,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 元以下,漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,已经成为一种潮流,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:42:25,2022-02-04 10:44:56,02分31秒,黑龙江省,哈尔滨市,42.102.245.11,Chrome 88.0.4324.93,Android Linux 10
236,E_307_5c093f4ac1a87d24d17fcc5d_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),个体经营者/承包商,洛天依|柳叶熙,不会塌房，追星更加稳定,花过，200至 500 元,每月 201 至 500 元,漫画等周边,代言品牌|线上/线下 演唱会,虚拟偶像种类:35.0|相关产品的丰富度:30.0|付费价格:35.0|其他:0.0,,,,,,成熟阶段，设置完善，已经成为了大多数人锻炼健身、科学饮食的首选,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:41:16,2022-02-04 10:45:00,03分44秒,湖南省,怀化市,223.149.233.40,Chrome 81.0.4044.138,Android Linux 10
237,E_307_619f172c33f0c498710e4418_2IDNxETM,30-45 岁,女,本科,10000-15000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),普通职员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,直播打赏|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,一般，流量明星仍然是占据主流,2022-02-04 10:42:19,2022-02-04 10:45:05,02分46秒,黑龙江省,哈尔滨市,123.167.81.146,Chrome 86.0.4240.99,Android Linux 5.1
238,E_307_518a69e6ffb53a74d5d67b45_2IDNxETM,46 岁及以上,男,本科,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,亲朋好友的推荐及评价,不愿付费（跳转 14 题）,代言品牌,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:41:51,2022-02-04 10:45:06,03分15秒,河北省,邢台市,60.6.113.237,Chrome 86.0.4240.198,Windows 8.1
239,E_307_61ea33b91b2425ff3d97866f_2IDNxETM,30-45 岁,女,本科,5000-9999 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),政府/事业单位人员,柳叶熙,娱乐消费，能够带来快乐|审美需要,花过，200 元以下,每月 50 元以下,代言品牌|漫画等周边,代言品牌|漫画等周边|线上/线下 演唱会,虚拟偶像种类:82.0|相关产品的丰富度:18.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:40:44,2022-02-04 10:45:08,04分24秒,山东省,临沂市,27.218.0.81,Chrome 88.0.4324.93,Android Linux 10
240,E_307_6048ce4f33f0c4ab076dd01a_2IDNxETM,19-29 岁,女,大专,暂无收入,华中地区(包括湖北、湖南、河南),学生,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,不愿付费（跳转 14 题）,线上/线下 演唱会,不太清楚,没有,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:42:42,2022-02-04 10:45:12,02分30秒,湖南省,长沙市,113.247.163.145,Unknown Browser,iPhone iOS 15.2.1
241,E_307_61fc70d81b2425ff3da0ca16_2IDNxETM,30-45 岁,男,高中,2000-4999 元,华南地区(包括广东、广西、海南、澳门、香港),自由职业者,初音未来,娱乐消费，能够带来快乐,花过，200 元以下,每月 50 元以下,直播打赏,直播打赏,虚拟偶像种类:80.0|相关产品的丰富度:20.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:42:40,2022-02-04 10:45:17,02分37秒,广西壮族自治区,柳州市,223.104.91.136,Chrome 70.0.3538.110,Android Linux 8.1.0
242,E_307_518a69dcffb53a74cbbd3768_2IDNxETM,30-45 岁,男,硕士研究生,5000-9999 元,华北地区(包括北京、天津、河北、山西、内蒙古),企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像产品的质量和丰富度,每月 50 元以下,漫画等周边,创立阶段，虚拟偶像种类不多，相关的产品也不多,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,一般，流量明星仍然是占据主流,2022-02-04 10:41:51,2022-02-04 10:45:19,03分28秒,天津市,天津市,111.163.23.167,Chrome 86.0.4240.198,Windows 7
243,E_307_61cfa46b1b2425f8a713f740_2IDNxETM,30-45 岁,女,本科,10000-15000 元,西北地区(包括宁夏、新疆、青海、陕西、甘肃),企业管理人员,我只听说过，但是没有消费过,,,,,,,不一定，因为我还没有进一步消费体验,没有，我觉得不需要虚拟偶像,虚拟偶像的才艺多样化,每月 50 到 200 元,漫画等周边|游戏,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,没有什么发展前景，虚拟偶像面向的群体很薄弱且小众,2022-02-04 10:42:18,2022-02-04 10:45:22,03分04秒,黑龙江省,哈尔滨市,113.5.6.41,Chrome 55.0.2883.91,Android Linux 6.0.1
244,E_307_61f23d2033f0c4d24416d845_2IDNxETM,30-45 岁,男,本科,10000-15000 元,华中地区(包括湖北、湖南、河南),政府/事业单位人员,我只听说过，但是没有消费过,,,,,,,可以，我觉得虚拟偶像能满足我的需求,有，我需要虚拟偶像。,虚拟偶像的外型设计,每月 50 到 200 元,直播打赏|漫画等周边,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:42:49,2022-02-04 10:45:35,02分46秒,黑龙江省,哈尔滨市,223.104.17.241,Chrome 83.0.4103.106,Android Linux 11
245,E_307_5af9f5e7c1a87d3cf3e1dbd4_2IDNxETM,19-29 岁,男,本科,5000-9999 元,华南地区(包括广东、广西、海南、澳门、香港),企业管理人员,A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|精神寄托,花过，200至 500 元,每月 50 到 200 元,代言品牌,漫画等周边,虚拟偶像种类:40.0|相关产品的丰富度:37.0|付费价格:11.0|其他:12.0,,,,,,扩张阶段，设置相对完善，用户数量持续增加，发展状况良好，前景广阔,有一小部分人,会，虚拟偶像不容易塌房。,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:41:53,2022-02-04 10:45:36,03分43秒,广东省,广州市,14.30.155.62,Chrome 86.0.4240.198,Windows 7
246,E_307_5aefb393c1a87d7a4a25bd5e_2IDNxETM,19-29 岁,女,本科,15001-20000 元,华东地区(包括山东、江苏、安徽、浙江、江西、福建、上海、台湾),普通工人,初音未来|洛天依|A-SOUL（嘉然今天吃什么）,娱乐消费，能够带来快乐|不会塌房，追星更加稳定|精神寄托|审美需要,花过，501 元到 1000 元,每月 201 至 500 元,直播打赏|代言品牌|漫画等周边|线上/线下 演唱会,直播打赏|代言品牌|线上/线下 演唱会|游戏,虚拟偶像种类:79.0|相关产品的丰富度:21.0|付费价格:0.0|其他:0.0,,,,,,创立阶段，虚拟偶像种类不多，相关的产品也不多,已经成为一种潮流,视具体情况而定，愿意同时接受两种偶像方式,有较好的发展前景，因为互联网和元宇宙的进步发展，虚拟偶像会进一步扩大影响力,2022-02-04 10:42:54,2022-02-04 10:45:37,02分43秒,吉林省,长春市,117.136.58.66,Chrome 83.0.4103.106,Android Linux 10
